,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,inside_outside_city_limits_code_y_n,tabc_permit_number,responsibility_begin_date_yyyymmdd,obligation_end_date_yyyymmdd,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts
18,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2017-04-30T00:00:00.000,172,0,187,0,359
19,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-08-31T00:00:00.000,935,0,517,0,1452
20,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-06-30T00:00:00.000,662,0,394,0,1056
21,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2012-10-31T00:00:00.000,185,0,455,0,640
22,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-11-30T00:00:00.000,602,0,381,0,983
23,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-02-28T00:00:00.000,147,0,162,0,309
24,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-12-31T00:00:00.000,78,0,97,0,175
25,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2014-04-30T00:00:00.000,787,0,442,0,1229
26,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-10-31T00:00:00.000,560,0,409,0,969
27,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2014-02-28T00:00:00.000,682,0,429,0,1111
28,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2017-10-31T00:00:00.000,161,0,251,0,412
29,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2015-12-31T00:00:00.000,151,0,92,0,243
30,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2010-12-31T00:00:00.000,0,0,0,0,0
31,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2016-12-31T00:00:00.000,59,0,93,0,152
32,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2011-10-31T00:00:00.000,288,0,530,0,818
33,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2019-04-30T00:00:00.000,147,0,208,0,355
34,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-07-31T00:00:00.000,69,0,103,0,172
35,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2011-06-30T00:00:00.000,275,0,559,0,834
36,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2019-07-31T00:00:00.000,132,0,119,0,251
37,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2019-03-31T00:00:00.000,116,0,158,0,274
38,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-04-30T00:00:00.000,315,0,615,0,930
39,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2015-05-31T00:00:00.000,531,0,342,0,873
